,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Avg_Daily_Usage_Hours,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Sleep_Hours_Per_Night,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Mental_Health_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Addicted_Score,Age,Age,Age,Age,Age,Age,Age,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media,Conflicts_Over_Social_Media
Vatican City,4.4,,4.4,4.4,4.4,4.4,4.4,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Liechtenstein,5.8,,5.8,5.8,5.8,5.8,5.8,5.2,,5.2,5.2,5.2,5.2,5.2,5.0,,5,5,5.0,5.0,5.0,9.0,,9,9,9.0,9.0,9.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Cyprus,3.8,,3.8,3.8,3.8,3.8,3.8,6.6,,6.6,6.6,6.6,6.6,6.6,7.0,,7,7,7.0,7.0,7.0,6.0,,6,6,6.0,6.0,6.0,20.0,,20,20,20.0,20.0,20.0,2.0,,2,2,2.0,2.0,2.0
Malta,2.7,,2.7,2.7,2.7,2.7,2.7,7.2,,7.2,7.2,7.2,7.2,7.2,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,22.0,,22,22,22.0,22.0,22.0,1.0,,1,1,1.0,1.0,1.0
Luxembourg,5.6,,5.6,5.6,5.6,5.6,5.6,5.3,,5.3,5.3,5.3,5.3,5.3,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Monaco,4.5,,4.5,4.5,4.5,4.5,4.5,5.8,,5.8,5.8,5.8,5.8,5.8,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,21.0,,21,21,21.0,21.0,21.0,3.0,,3,3,3.0,3.0,3.0
Kosovo,5.5,,5.5,5.5,5.5,5.5,5.5,5.4,,5.4,5.4,5.4,5.4,5.4,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,20.0,,20,20,20.0,20.0,20.0,4.0,,4,4,4.0,4.0,4.0
North Macedonia,3.7,,3.7,3.7,3.7,3.7,3.7,6.5,,6.5,6.5,6.5,6.5,6.5,7.0,,7,7,7.0,7.0,7.0,6.0,,6,6,6.0,6.0,6.0,21.0,,21,21,21.0,21.0,21.0,2.0,,2,2,2.0,2.0,2.0
Albania,4.7,,4.7,4.7,4.7,4.7,4.7,5.8,,5.8,5.8,5.8,5.8,5.8,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,19.0,,19,19,19.0,19.0,19.0,3.0,,3,3,3.0,3.0,3.0
Montenegro,2.9,,2.9,2.9,2.9,2.9,2.9,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,22.0,,22,22,22.0,22.0,22.0,2.0,,2,2,2.0,2.0,2.0
Bosnia,2.4,,2.4,2.4,2.4,2.4,2.4,7.4,,7.4,7.4,7.4,7.4,7.4,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,23.0,,23,23,23.0,23.0,23.0,1.0,,1,1,1.0,1.0,1.0
Qatar,4.9,,4.9,4.9,4.9,4.9,4.9,5.7,,5.7,5.7,5.7,5.7,5.7,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,19.0,,19,19,19.0,19.0,19.0,3.0,,3,3,3.0,3.0,3.0
Kuwait,5.7,,5.7,5.7,5.7,5.7,5.7,5.3,,5.3,5.3,5.3,5.3,5.3,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Bahrain,2.8,,2.8,2.8,2.8,2.8,2.8,7.1,,7.1,7.1,7.1,7.1,7.1,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,22.0,,22,22,22.0,22.0,22.0,1.0,,1,1,1.0,1.0,1.0
Iraq,2.5,,2.5,2.5,2.5,2.5,2.5,7.3,,7.3,7.3,7.3,7.3,7.3,8.0,,8,8,8.0,8.0,8.0,4.0,,4,4,4.0,4.0,4.0,23.0,,23,23,23.0,23.0,23.0,1.0,,1,1,1.0,1.0,1.0
Lebanon,5.8,,5.8,5.8,5.8,5.8,5.8,5.2,,5.2,5.2,5.2,5.2,5.2,5.0,,5,5,5.0,5.0,5.0,9.0,,9,9,9.0,9.0,9.0,19.0,,19,19,19.0,19.0,19.0,4.0,,4,4,4.0,4.0,4.0
Jordan,5.4,,5.4,5.4,5.4,5.4,5.4,5.5,,5.5,5.5,5.5,5.5,5.5,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,21.0,,21,21,21.0,21.0,21.0,4.0,,4,4,4.0,4.0,4.0
Oman,4.6,,4.6,4.6,4.6,4.6,4.6,5.9,,5.9,5.9,5.9,5.9,5.9,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Afghanistan,2.9,,2.9,2.9,2.9,2.9,2.9,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,,7,7,7.0,7.0,7.0,5.0,,5,5,5.0,5.0,5.0,22.0,,22,22,22.0,22.0,22.0,2.0,,2,2,2.0,2.0,2.0
Syria,5.6,,5.6,5.6,5.6,5.6,5.6,5.4,,5.4,5.4,5.4,5.4,5.4,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,18.0,,18,18,18.0,18.0,18.0,4.0,,4,4,4.0,4.0,4.0
Yemen,4.7,,4.7,4.7,4.7,4.7,4.7,5.8,,5.8,5.8,5.8,5.8,5.8,6.0,,6,6,6.0,6.0,6.0,7.0,,7,7,7.0,7.0,7.0,20.0,,20,20,20.0,20.0,20.0,3.0,,3,3,3.0,3.0,3.0
Bhutan,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5.5,5.5,5.5,5.0,,5,5,5.0,5.0,5.0,8.0,,8,8,8.0,8.0,8.0,20.0,,20,20,20.0,20.0,20.0,4.0,,4,4,4.0,4.0,4.0
